key,nubKey,nameKey,taxonID,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,publishedIn,numDescendants,lastCrawled,lastInterpreted,issues,class,basionymKey,basionym,sourceTaxonKey
7319844,7319844,3741701,gbif:7319844,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris fuscipes,6,7707728,7228684,392,2373,2651126,7319844,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2651126,Dryopteris,Dryopteris fuscipes C.Chr.,Dryopteris fuscipes,Big autumn fern,C.Chr.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"C. Chr. (1917). In: Index Filic., Suppl. 2: 14.",0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:17.289+00:00,[],Polypodiopsida,,,
3989330,3989330,3751004,gbif:3989330,Plantae,Tracheophyta,Myrtales,Lythraceae,Duabanga,Duabanga grandiflora,6,7707728,220,690,6684,7286226,3989330,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7286226,Duabanga,Duabanga grandiflora (Roxb. ex DC.) Walp.,Duabanga grandiflora,,(Roxb. ex DC.) Walp.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Walp. (1843). In: Repert. 2: 114.,1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:11:09.214+00:00,[],Magnoliopsida,7729970.0,Lagerstroemia grandiflora Roxb. ex DC.,
5365717,5365717,9139263,gbif:5365717,Plantae,Tracheophyta,Rosales,Rosaceae,Potentilla,Potentilla indica,6,7707728,220,691,5015,8079058,5365717,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,8079058,Potentilla,Potentilla indica (Andrews) Th.Wolf,Potentilla indica,False Strawberry,(Andrews) Th.Wolf,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Th. Wolf. (1904). In: Asch. & Graebn., Syn. Mitt. Eur. Fl. 6(1): 661.",2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:10:54.177+00:00,[],Magnoliopsida,7820007.0,Fragaria indica Andrews,
5356335,5356335,3757897,gbif:5356335,Plantae,Tracheophyta,Fabales,Fabaceae,Dunbaria,Dunbaria punctata,6,7707728,220,1370,5386,2961956,5356335,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2961956,Dunbaria,Dunbaria punctata (Wight & Arn.) Benth.,Dunbaria punctata,,(Wight & Arn.) Benth.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"F.A.W.Miquel, Pl. Jungh.: 242 (1852)",0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:08:34.956+00:00,[],Magnoliopsida,2962001.0,Dolichos punctatus Wight & Arn.,
2925655,2925655,3761049,gbif:2925655,Plantae,Tracheophyta,Lamiales,Verbenaceae,Duranta,Duranta erecta,6,7707728,220,408,6689,2925654,2925655,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2925654,Duranta,Duranta erecta L.,Duranta erecta,Golden dewdrops,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Sp. Pl.: 637 (1753),3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:03:09.784+00:00,[],Magnoliopsida,,,
2970961,2970961,3440463,gbif:2970961,Plantae,Tracheophyta,Fabales,Fabaceae,Dialium,Dialium cochinchinense,6,7707728,220,1370,5386,2970932,2970961,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2970932,Dialium,Dialium cochinchinense Pierre,Dialium cochinchinense,velvet-tamarind,Pierre,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Fl. Forest. Cochinch.: t. 384 A (1898),0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:06.099+00:00,[],Magnoliopsida,,,
8365251,8365251,3443419,gbif:8365251,Plantae,Tracheophyta,Asparagales,Asphodelaceae,Dianella,Dianella ensifolia,6,7707728,196,1169,4259209,9435646,8365251,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,9435646,Dianella,Dianella ensifolia (L.) Redouté,Dianella ensifolia,Cerulean Flaxlily,(L.) Redouté,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Liliac. 1: t. 1 (1802),3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:16:23.043+00:00,[],Liliopsida,8135211.0,Dracaena ensifolia L.,
3085421,3085421,3445354,gbif:3085421,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Dianthus,Dianthus barbatus,6,7707728,220,422,2518,3085411,3085421,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3085411,Dianthus,Dianthus barbatus L.,Dianthus barbatus,Sweet-William,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,L. (1753). In: Sp. Pl.: 409.,4,2023-08-22T23:20:59.545+00:00,2023-08-22T23:12:42.838+00:00,[],Magnoliopsida,,,
3085420,3085420,3446128,gbif:3085420,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Dianthus,Dianthus caryophyllus,6,7707728,220,422,2518,3085411,3085420,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3085411,Dianthus,Dianthus caryophyllus L.,Dianthus caryophyllus,Clove Pink,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,L. (1753). In: Sp. Pl. 2: 410.,2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:12:41.955+00:00,[],Magnoliopsida,,,
3085418,3085418,3446028,gbif:3085418,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Dianthus,Dianthus chinensis,6,7707728,220,422,2518,3085411,3085418,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3085411,Dianthus,Dianthus chinensis L.,Dianthus chinensis,Rainbow pink,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,L. (1753). In: Sp. Pl. 411.,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:12:42.576+00:00,[],Magnoliopsida,,,
