inputName,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym
Paris delavayi Franch.,5295967.0,Paris delavayi Franch.,Paris delavayi,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris delavayi,6.0,7707728.0,196.0,1172.0,7700.0,2741835.0,5295967.0,
Paris dunniana H. Lév.,5295889.0,Paris dunniana H.Lév.,Paris dunniana,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris dunniana,6.0,7707728.0,196.0,1172.0,7700.0,2741835.0,5295889.0,
Paris fargesii Franch.,5295878.0,Paris fargesii Franch.,Paris fargesii,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris fargesii,6.0,7707728.0,196.0,1172.0,7700.0,2741835.0,5295878.0,
Paris hainanensis Merr.,5295890.0,Paris hainanensis Merr.,Paris hainanensis,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris dunniana,6.0,7707728.0,196.0,1172.0,7700.0,2741835.0,5295889.0,
Paris polyphylla Smith.,5295929.0,Paris polyphylla Sm.,Paris polyphylla,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris polyphylla,6.0,7707728.0,196.0,1172.0,7700.0,2741835.0,5295929.0,
"Paris xichouensis (H.Li) Y.H.Ji, H.Li & Z.K.Zhou",5295918.0,"Paris xichouensis (H.Li) Y.H.Ji, H.Li & Z.K.Zhou",Paris xichouensis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris xichouensis,6.0,7707728.0,196.0,1172.0,7700.0,2741835.0,5295918.0,
Paris yunnanensis Franch.,5295953.0,Paris yunnanensis Franch.,Paris yunnanensis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Paris,Paris yunnanensis,6.0,7707728.0,196.0,1172.0,7700.0,2741835.0,5295953.0,
Parkinsonia aculeata L.,5357217.0,Parkinsonia aculeata L.,Parkinsonia aculeata,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,Parkinsonia aculeata,6.0,7707728.0,220.0,1370.0,5386.0,2964820.0,5357217.0,
Parmelia tinctorum Despr. ex Nyl.,2606269.0,Parmelia tinctorum Despr. ex Nyl.,Parmelia tinctorum,SPECIES,SYNONYM,100.0,EXACT,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,Parmotrema tinctorum,5.0,95.0,180.0,1048.0,8305.0,2565599.0,2606268.0,
Parochetus communis Buch. Ham ex D. Don,2981777.0,Parochetus communis Buch.-Ham. ex D.Don,Parochetus communis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parochetus,Parochetus communis,6.0,7707728.0,220.0,1370.0,5386.0,2981774.0,2981777.0,
Parsonsia alboflavescens (Dennst.) Mabb.,7317262.0,Parsonsia alboflavescens (Dennst.) Mabb.,Parsonsia alboflavescens,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Parsonsia,Parsonsia alboflavescens,6.0,7707728.0,220.0,412.0,6701.0,3230956.0,7317262.0,
Parthenium hysterophorus L.,3086784.0,Parthenium hysterophorus L.,Parthenium hysterophorus,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium hysterophorus,6.0,7707728.0,220.0,414.0,3065.0,3086782.0,3086784.0,
Parthenocissus heterophylla (Blume) Merr.,4054892.0,Parthenocissus heterophylla (Blume) Merr.,Parthenocissus heterophylla,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus semicordata,6.0,7707728.0,220.0,7222050.0,6672.0,3039188.0,7293862.0,
