kingdom,kingdomKey,speciesKey,image_count
Fungi,5,2549396,0
Fungi,5,2548311,0
Fungi,5,9645698,0
Fungi,5,5237434,0
Fungi,5,7577590,0
Fungi,5,3324883,0
Fungi,5,3407874,0
Fungi,5,8699607,0
Fungi,5,5241445,0
Fungi,5,3459975,0
Fungi,5,2557574,0
