key,nubKey,nameKey,taxonID,sourceTaxonKey,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,publishedIn,numDescendants,lastCrawled,lastInterpreted,issues,class,basionymKey,basionym
2548311,2548311,11360607,gbif:2548311,172084895.0,Fungi,Basidiomycota,Polyporales,Polyporaceae,Trametes,Trametes versicolor,5,34,186,1145,3286,2519084,2548311,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2519084,Trametes,Trametes versicolor (L.) Lloyd,Trametes versicolor,Turkeytail,(L.) Lloyd,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1921). Mycol. Notes (Cincinnati) 65: 1045 (’1920′).,15,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:15.030+00:00,[],Agaricomycetes,,
9645698,9645698,32671097,gbif:9645698,171993517.0,Fungi,Basidiomycota,Tremellales,Tremellaceae,Phaeotremella,Phaeotremella foliacea,5,34,149,1123,3827,2518397,9645698,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2518397,Phaeotremella,"Phaeotremella foliacea (Pers.) Wedin, J.C.Zamora & Millanes",Phaeotremella foliacea,Leafy Brain,"(Pers.) Wedin, J.C.Zamora & Millanes",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(2016). Mycosphere 7(3): 296.,1,2023-08-22T23:20:59.545+00:00,2023-08-22T22:59:19.553+00:00,['ORIGINAL_NAME_DERIVED'],Tremellomycetes,5237406.0,Tremella foliacea Pers.
5237434,5237434,11375318,gbif:5237434,171993257.0,Fungi,Basidiomycota,Tremellales,Tremellaceae,Tremella,Tremella fuciformis,5,34,149,1123,3827,7939704,5237434,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7939704,Tremella,Tremella fuciformis Berk.,Tremella fuciformis,Snow Fungus,Berk.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1856). Hooker’s J. Bot. Kew Gard. Misc. 8: 277.,5,2023-08-22T23:20:59.545+00:00,2023-08-22T22:59:19.066+00:00,[],Tremellomycetes,,
7577590,7577590,11376110,gbif:7577590,117900421.0,Fungi,Basidiomycota,Tremellales,Tremellaceae,Tremella,Tremella mesenterica,5,34,149,1123,3827,7939704,7577590,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,a43ec6d8-7b8a-4868-ad74-56b824c75698,7939704,Tremella,Tremella mesenterica Retz.,Tremella mesenterica,Yellow Brain,Retz.,SCIENTIFIC,SPECIES,SOURCE,DOUBTFUL,[],Possible variant of Tremella mesenterica (Schaeff.) Pers.,"K. svenska Vetensk-Akad. Handl., ser. 1 30: 249",2,2023-08-22T23:20:59.545+00:00,2023-08-22T22:59:18.799+00:00,['ORTHOGRAPHIC_VARIANT'],Tremellomycetes,,
3324883,3324883,11413782,gbif:3324883,172029688.0,Fungi,Basidiomycota,Agaricales,Tricholomataceae,Tricholoma,Tricholoma equestre,5,34,186,1499,8787,2527766,3324883,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2527766,Tricholoma,Tricholoma equestre (L.) P.Kumm.,Tricholoma equestre,Yellow Knight,(L.) P.Kumm.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1871). Führ. Pilzk. (Zerbst): 130.,9,2023-08-22T23:20:59.545+00:00,2023-08-22T23:00:02.455+00:00,['ORIGINAL_NAME_DERIVED'],Agaricomycetes,5820631.0,Agaricus equestre L.
3407874,3407874,3664438,gbif:3407874,172233285.0,Fungi,Ascomycota,Lecanorales,Parmeliaceae,Dolichousnea,Dolichousnea diffracta,5,95,180,1048,8305,7248428,3407874,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7248428,Dolichousnea,Dolichousnea diffracta (Vain.) Articus,Dolichousnea diffracta,,(Vain.) Articus,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(2004). Taxon 53(4): 932.,1,2023-08-22T23:20:59.545+00:00,2023-08-22T22:55:57.347+00:00,['ORIGINAL_NAME_DERIVED'],Lecanoromycetes,7248115.0,Usnea diffracta Vain.
8699607,8699607,32282688,gbif:8699607,210295825.0,Fungi,Basidiomycota,Ustilaginales,Ustilaginaceae,Mycosarcoma,Mycosarcoma maydis,5,34,148,1121,3821,3370051,8699607,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3370051,Mycosarcoma,Mycosarcoma maydis (DC.) Bref.,Mycosarcoma maydis,Corn Smut,(DC.) Bref.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1912). Unters. Gesammtgeb. Mykol. (Leipzig) 15: 53.,1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:18.778+00:00,['ORIGINAL_NAME_DERIVED'],Ustilaginomycetes,2557478.0,Uredo maydis DC.
5241445,5241445,11819966,gbif:5241445,172036609.0,Fungi,Basidiomycota,Agaricales,Pluteaceae,Volvariella,Volvariella volvacea,5,34,186,1499,8447,2530192,5241445,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2530192,Volvariella,Volvariella volvacea (Bull.) Singer,Volvariella volvacea,,(Bull.) Singer,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1951). Lilloa 22: 401 (’1949′).,13,2023-08-22T23:20:59.545+00:00,2023-08-22T22:59:57.745+00:00,[],Agaricomycetes,,
3459975,3459975,17162168,gbif:3459975,172115235.0,Fungi,Ascomycota,Xylariales,Xylariaceae,Podosordaria,Podosordaria nigripes,5,95,320,1298,4168,2576498,3459975,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2576498,Podosordaria,Podosordaria nigripes (Klotzsch) P.M.D.Martin,Podosordaria nigripes,,(Klotzsch) P.M.D.Martin,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1976). Jl S. Afr. Bot. 42(1): 80.,4,2023-08-22T23:20:59.545+00:00,2023-08-22T22:56:50.637+00:00,['ORIGINAL_NAME_DERIVED'],Sordariomycetes,8390822.0,Sphaeria nigripes Klotzsch
2557574,2557574,11665706,gbif:2557574,176024898.0,Fungi,Basidiomycota,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago esculenta,5,34,148,1121,3821,2513349,2557574,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2513349,Ustilago,Ustilago esculenta Henn.,Ustilago esculenta,Smut fungus,Henn.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1895). Hedwigia 34: 10.,2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:19.349+00:00,[],Ustilaginomycetes,,
