inputName,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym
Acalypha siamensis Oliv. ex Gage,3056042.0,Acalypha siamensis Oliv. ex Gage,Acalypha siamensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha siamensis,6.0,7707728.0,220.0,1414.0,4691.0,3055964.0,3056042.0,False
Acanthus ilicifolius var. integrifolius T.Anderson ex C.B.Clarke,12327089.0,Acanthus ilicifolius var. integrifolius T.Anderson ex C.B.Clarke,Acanthus ilicifolius integrifolius,VARIETY,DOUBTFUL,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,Acanthus ilicifolius,6.0,7707728.0,220.0,408.0,2393.0,3173198.0,6359819.0,False
Aeschynanthus longicaulis Wall. ex R.Br.,3825597.0,Aeschynanthus longicaulis Wall. ex R.Br.,Aeschynanthus longicaulis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,Aeschynanthus longicaulis,6.0,7707728.0,220.0,408.0,6654.0,6365037.0,3825597.0,False
Ancistrocladus scandens (Lour.) Merr. apud L. K. Ke & al.,7599530.0,Ancistrocladus Wall. ex Wight & Arn.,Ancistrocladus,GENUS,ACCEPTED,94,HIGHERRANK,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Ancistrocladaceae,Ancistrocladus,,6.0,7707728.0,220.0,422.0,3231640.0,7599530.0,,False
Aneilema sinicum Lindl.,2763207.0,Aneilema R.Br.,Aneilema,GENUS,ACCEPTED,94,HIGHERRANK,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Aneilema,,6.0,7707728.0,196.0,553.0,2763195.0,2763207.0,,False
Calvatia cyathiformis (Bosc) Morgan,2536054.0,Calvatia cyathiformis (Bosc) Morgan,Calvatia cyathiformis,SPECIES,ACCEPTED,100,EXACT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Calvatia cyathiformis,5.0,34.0,186.0,1499.0,3297360.0,9330501.0,2536054.0,False
Camellia hakodae Ninh,3189634.0,Camellia L.,Camellia,GENUS,ACCEPTED,94,HIGHERRANK,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,,6.0,7707728.0,220.0,1353.0,3189597.0,3189634.0,,False
Camellia tamdaoensis Hakoda & Ninh,3189634.0,Camellia L.,Camellia,GENUS,ACCEPTED,94,HIGHERRANK,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,,6.0,7707728.0,220.0,1353.0,3189597.0,3189634.0,,False
Camellia tienii Ninh & Hakoda,3189634.0,Camellia L.,Camellia,GENUS,ACCEPTED,94,HIGHERRANK,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Camellia,,6.0,7707728.0,220.0,1353.0,3189597.0,3189634.0,,False
Capparis pyrifolia Lam. 1785,7734302.0,Capparis pyrifolia Lam.,Capparis pyrifolia,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Capparis,Capparis pyrifolia,6.0,7707728.0,220.0,7225535.0,3111.0,3054191.0,7734302.0,False
Caesalpinia bonduc (L.) Roxb.,2958671.0,Caesalpinia bonduc (L.) Roxb.,Caesalpinia bonduc,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Guilandina,Guilandina bonduc,6.0,7707728.0,220.0,1370.0,5386.0,6376699.0,8400302.0,True
Caesalpinia crista L.,8179846.0,Caesalpinia crista L.,Caesalpinia crista,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinia,Ticanto crista,6.0,7707728.0,220.0,1370.0,5386.0,2958443.0,11973078.0,True
Caesalpinia cucullata Roxb.,2958654.0,Caesalpinia cucullata Roxb.,Caesalpinia cucullata,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mezoneuron,Mezoneuron cucullatum,6.0,7707728.0,220.0,1370.0,5386.0,2944261.0,5354740.0,True
Caesalpinia decapetala (Roth) Alston,2958468.0,Caesalpinia decapetala (Roth) Alston,Caesalpinia decapetala,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Biancaea,Biancaea decapetala,6.0,7707728.0,220.0,1370.0,5386.0,7302381.0,3974372.0,True
Caesalpinia godefroyana Kuntze,2958692.0,Caesalpinia godefroyana Kuntze,Caesalpinia godefroyana,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Biancaea,Biancaea godefroyana,6.0,7707728.0,220.0,1370.0,5386.0,7302381.0,9282392.0,True
Caesalpinia major (Medik.) Dandy & Exell,8245248.0,Caesalpinia major (Medik.) Dandy & Exell,Caesalpinia major,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Guilandina,Guilandina major,6.0,7707728.0,220.0,1370.0,5386.0,6376699.0,2958773.0,True
Caesalpinia mimosoides Lam.,2958728.0,Caesalpinia mimosoides Lam.,Caesalpinia mimosoides,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Hultholia,Hultholia mimosoides,6.0,7707728.0,220.0,1370.0,5386.0,9599254.0,9362258.0,True
Caesalpinia minax Hance,2958556.0,Caesalpinia minax Hance,Caesalpinia minax,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Guilandina,Guilandina minax,6.0,7707728.0,220.0,1370.0,5386.0,6376699.0,11219613.0,True
Caesalpinia pulcherrima (L.) Sw.,2958715.0,Caesalpinia pulcherrima (L.) Sw.,Caesalpinia pulcherrima,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinia,Caesalpinia pulcherrima,6.0,7707728.0,220.0,1370.0,5386.0,2958443.0,2958715.0,False
Caesalpinia sappan L.,2958870.0,Caesalpinia sappan L.,Caesalpinia sappan,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Biancaea,Biancaea sappan,6.0,7707728.0,220.0,1370.0,5386.0,7302381.0,2958871.0,True
Caesalpinia sinensis (Hemsl.) J.E.Vidal,2958451.0,Caesalpinia sinensis (Hemsl.) J.E.Vidal,Caesalpinia sinensis,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mezoneuron,Mezoneuron sinense,6.0,7707728.0,220.0,1370.0,5386.0,2944261.0,5354716.0,True
Clerodendrum palmatolobatum Dop,3890752.0,Clerodendrum palmatolobatum Dop,Clerodendrum palmatolobatum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clerodendrum,Clerodendrum palmatolobatum,6.0,7707728.0,220.0,408.0,2497.0,2925347.0,3890752.0,False
Codium duthieae Silva,2642664.0,"Codium Stackhouse, 1797",Codium,GENUS,ACCEPTED,94,HIGHERRANK,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,,6.0,36.0,195.0,625.0,8776.0,2642664.0,,False
Colysis hemionitideus (Wall. ex Mett) Copel.,7126766.0,Colysis C.Presl,Colysis,GENUS,SYNONYM,93,HIGHERRANK,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Leptochilus,,6.0,7707728.0,7228684.0,392.0,2368.0,2650941.0,,True
Crocosmia ×crocosmiiflora (Lemoine) N.E.Br.,2747939.0,Crocosmia ×crocosmiiflora (Lemoine) N.E.Br.,Crocosmia crocosmiiflora,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocosmia,Crocosmia crocosmiiflora,6.0,7707728.0,196.0,1169.0,7698.0,2747926.0,2747939.0,False
Crotalaria medicaginea Lam.,2942291.0,Crotalaria medicaginea Lam.,Crotalaria medicaginea,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,Crotalaria medicaginea,6.0,7707728.0,220.0,1370.0,5386.0,2941719.0,2942291.0,False
Crotalaria spectabilis Roth,2942727.0,Crotalaria spectabilis Roth,Crotalaria spectabilis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,Crotalaria spectabilis,6.0,7707728.0,220.0,1370.0,5386.0,2941719.0,2942727.0,False
