key,nubKey,nameKey,taxonID,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,publishedIn,numDescendants,lastCrawled,lastInterpreted,issues,class,sourceTaxonKey,basionymKey,basionym
7326897,7326897,5098961,gbif:7326897,Plantae,Tracheophyta,Aquifoliales,Helwingiaceae,Helwingia,Helwingia japonica,6,7707728,220,7226638,3697177,7326894,7326897,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7326894,Helwingia,Helwingia japonica (Thunb.) F.Dietr.,Helwingia japonica,,(Thunb.) F.Dietr.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Nachtr. Vollst. Lex. Gärtn. 3: 660 (1817),9,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:42.911+00:00,[],Magnoliopsida,,3788972.0,Osyris japonica Thunb.
5248532,5248532,5148873,gbif:5248532,Fungi,Basidiomycota,Russulales,Hericiaceae,Hericium,Hericium coralloides,5,34,186,1144,7612,5244571,5248532,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,5244571,Hericium,Hericium coralloides (Scop.) Pers.,Hericium coralloides,Coral Tooth,(Scop.) Pers.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1794). Neues Mag. Bot. 1: 109.,7,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:00.135+00:00,['ORIGINAL_NAME_DERIVED'],Agaricomycetes,172100146.0,2550566.0,Hydnum coralloides Scop.
7314066,7314066,5556438,gbif:7314066,Plantae,Tracheophyta,Austrobaileyales,Schisandraceae,Illicium,Illicium jiadifengpi,6,7707728,220,7221318,6691,2889755,7314066,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2889755,Illicium,Illicium jiadifengpi B.N.Chang,Illicium jiadifengpi,,B.N.Chang,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Chang, B. N. (1982). In: Acta Bot. Yunnan. 4(1): 47-48.",0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:07:38.062+00:00,[],Magnoliopsida,,,
5529331,5529331,5713629,gbif:5529331,Plantae,Tracheophyta,Icacinales,Icacinaceae,Iodes,Iodes seguinii,6,7707728,220,7223732,2513,3234373,5529331,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3234373,Iodes,Iodes seguinii (H.Lév.) Rehder,Iodes seguinii,,(H.Lév.) Rehder,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Rehder. (1934). In: J. Arnold Arbor. 15: 3.,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:07:36.513+00:00,[],Magnoliopsida,,8415332.0,Vitis seguinii H.Lév.
5529313,5529313,5713683,gbif:5529313,Plantae,Tracheophyta,Icacinales,Icacinaceae,Iodes,Iodes vitiginea,6,7707728,220,7223732,2513,3234373,5529313,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3234373,Iodes,Iodes vitiginea (Hance) Hance,Iodes vitiginea,,(Hance) Hance,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Hance. (1874). In: J. Bot., 184.",1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:07:36.578+00:00,[],Magnoliopsida,,3685958.0,Erythrostaphyle vitiginea Hance
7262379,7262379,7187533,gbif:7262379,Plantae,Tracheophyta,Rosales,Moraceae,Morus,Morus macroura,6,7707728,220,691,6640,2984545,7262379,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2984545,Morus,Morus macroura Miq.,Morus macroura,King White Mulberry,Miq.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Miq. (1851). In: Pl. Jungh. 42.,3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:10:18.395+00:00,[],Magnoliopsida,,,
4108550,4108550,6789877,gbif:4108550,Plantae,Tracheophyta,Poales,Poaceae,Megathyrsus,Megathyrsus maximus,6,7707728,196,1369,3073,6431475,4108550,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,6431475,Megathyrsus,Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs,Megathyrsus maximus,Guineagrass,(Jacq.) B.K.Simon & S.W.L.Jacobs,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Austrobaileya 6: 572 (2003),5,2023-08-22T23:20:59.545+00:00,2023-08-22T23:15:28.997+00:00,[],Liliopsida,,2705868.0,Panicum maximum Jacq.
3022372,3022372,9278988,gbif:3022372,Plantae,Tracheophyta,Rosales,Rosaceae,Prunus,Prunus javanica,6,7707728,220,691,5015,3020559,3022372,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3020559,Prunus,Prunus javanica (Teijsm. & Binn.) Miq.,Prunus javanica,,(Teijsm. & Binn.) Miq.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Miq. (1855). In: Fl. Ned. Ind. 1: 365.,2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:10:30.787+00:00,[],Magnoliopsida,,3022378.0,Cerasus javanica Teijsm. & Binn.
5381460,5381460,8653492,gbif:5381460,Plantae,Tracheophyta,Malpighiales,Phyllanthaceae,Phyllanthus,Phyllanthus binhii,6,7707728,220,1414,8807,3061139,5381460,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3061139,Phyllanthus,Phyllanthus binhii Thin,Phyllanthus binhii,,Thin,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Euphorb. Vietnam: 48 (1995),0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:04:04.854+00:00,[],Magnoliopsida,,,
8618631,8618631,8518890,gbif:8618631,Fungi,Basidiomycota,Phallales,Phallaceae,Phallus,Phallus multicolor,5,34,186,532,3292,2524102,8618631,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6,2524102,Phallus,"Phallus multicolor (Berk. & Broome) Cooke, 1882",Phallus multicolor,,"(Berk. & Broome) Cooke, 1882",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,,2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:00:51.897+00:00,['ORIGINAL_NAME_DERIVED'],Agaricomycetes,193998158.0,8452411.0,"Dictyophora multicolor Berk. & Broome, 1883"
3125210,3125210,10835062,gbif:3125210,Plantae,Tracheophyta,Asterales,Asteraceae,Strobocalyx,Strobocalyx arborea,6,7707728,220,414,3065,7427317,3125210,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7427317,Strobocalyx,Strobocalyx arborea (Buch.-Ham.) Sch.Bip.,Strobocalyx arborea,,(Buch.-Ham.) Sch.Bip.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Sch. Bip. (1861). In: Jahresber. Pollichia 18-19: 171.,15,2023-08-22T23:20:59.545+00:00,2023-08-22T23:04:53.796+00:00,[],Magnoliopsida,,7883048.0,Vernonia arborea Buch.-Ham.
2874570,2874570,3088652,gbif:2874570,Plantae,Tracheophyta,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis melo,6,7707728,220,7224005,6634,2874568,2874570,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2874568,Cucumis,Cucumis melo L.,Cucumis melo,Melon,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Sp. Pl.: 1011 (1753),13,2023-08-22T23:20:59.545+00:00,2023-08-22T23:07:50.540+00:00,[],Magnoliopsida,,,
