id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1370542,"Hawaiian hibiscus, Hibiscus, गुड़हल, Chinese hibiscus, China-rose, জবা ফুল, Kembang Sepatu, Rose-of-China, ముద్దమందారం, ختمى چينى, ମନ୍ଦାର ଫୁଲ, Shoeblackplant, Shoe-black plant, Shoe-flower, Chinese rose, Rose mallow, Rose of China, Chinese roos, Double rose-hibiscus, Hawiian hibiscus, Hibiscus 'Lipstick', Hibiscus rose-of-China, Shoe-back Plant, Tropical Hibiscus, Shoebackplant, Indian Hibiscus, જાસુદ, రిక్క మందారం, మందారం, Rose of Sharon, ఎర్రమందారం, ചെമ്പരത്തി, ختمی گرمسیری, Sepatu, Rose, Shoeback, Hibiscus Pink Versicolor, Mar Pasifico, Gumamela, Auto CRUZ Miramar Co, Cayeno, Hibisco, Jasood, नेपाली  नाम घंटी फुल, گلابی ہیبسکس, Hibiscus syriacus 'Lucy', TAMIL, Common Red, ورد الجمال, JASUD ( In India), Չինական Վարդ, ဇဗ၊ ပ္ကဴ",Hibiscus rosa-sinensis,L.,3152559,560756-1,
1363940,"Indian-sorrel, Roselle, Jamaica-sorrel, Red-sorrel, Sorrel, လဂဝ်, Tropical cranberry, Jamaican sorrell, Red tea, Rosella, Sereni, పుంటికూర (గోంగూర), Lady finger",Hibiscus sabdariffa,L.,3152582,326388-2,
1734685,"Campanilla, Chinese lantern, Fringed Rosemallow, Japanese hibiscus, Coral hibiscus, Fringed hibiscus, Japanese lantern, Parasol hibiscus",Hibiscus schizopetalus,(Mast.) Hook.f.,9064581,560792-1,
1370452,"Prickly hibiscus creeper, Comfort root, Pineland Hibiscus",Hibiscus surattensis,L.,3941020,560886-1,
1392770,"Rose of Sharon, Syrian hibiscus, Common Hibiscus, ختمی درختی, Korean Rose, Blue Hibiscus, Rose-of-Sharon, Althea, Syrian ketmia, Shrub-althaea, Korean Hibiscus, Mugunghwa, Shrub Althea, Shrubby althaea, Althaea, Shrubby rose-mallow, Lil kim, Ibisco cinese, ختمی سوری, Syrian Rose Mallow, Granny Mary's Rose of Sharon, Rose mallow, Agachatmi, kilicotu (tr), Slez, Lady stanley, Hibisco da síria (PT), Сиријски хибискус, Morning glory, Ιβίσκος, 木槿, Tree hollyhock",Hibiscus syriacus,L.,3152583,560890-1,
1408172,"Sea hibiscus, Mahoe, Coast Cottonwood, Linden hibiscus, Cottonwood, Coast hibiscus, Hau tree, Mahoe tree, Wild cotton tree, Hau ( Hawaiian name), Waru Hias - Indonesian, Tilia-leaved Hibiscus, Erickson, Native Hibiscus, Гибискус липовидный",Hibiscus tiliaceus,L.,3152584,30143354-2,LC
1363941,"Flower-of-an-hour, Venice-mallow, Bladder ketmia, Flower Of An Hour, Rosemallow, Modesty, Trilobate Ketmia, Bladder weed, Bladder hibiscus, Shoofly, Puarangi, Hibiscus, Venice rose-mallow, Flowerofanhour, ختمی سه رنگ،, Zămoșiță, Macul-Ciorii",Hibiscus trionum,L.,3152560,122028-2,
1359630,"Tropical Fanleaf, Tropical rose mallow, Wild okra, Grape Leaved Mallow",Hibiscus vitifolius,L.,3152562,560973-1,
1407199,"Madamfate, Star-of-Bethlehem, Tibey, Shrubharebell, Kitolod",Hippobroma longiflora,(L.) G.Don,3168943,1133957-2,
1392778,"Mare's-tail, Common Mare's Tail, Common Mare’s-tail, Marestail, Common Marestail, Mountain Mare's-Tail",Hippuris vulgaris,L.,5372503,430352-1,LC
