kingdom,kingdomKey,speciesKey,image_count
Plantae,6,5599251,0
Plantae,6,3152707,0
Plantae,6,3152706,0
Plantae,6,8312665,0
Plantae,6,5348711,0
Plantae,6,3152634,0
Plantae,6,7997923,0
Plantae,6,3796190,0
Plantae,6,3795863,0
Plantae,6,2978466,0
Plantae,6,2979474,0
Plantae,6,2979265,0
Plantae,6,7769517,0
Plantae,6,3974744,0
Plantae,6,8381471,0
Plantae,6,3056835,0
Plantae,6,3056375,0
Plantae,6,3056259,0
Plantae,6,3056042,0
Plantae,6,3057221,0
Plantae,6,2781924,0
Plantae,6,2781961,0
Plantae,6,3035369,0
Plantae,6,3035456,0
Plantae,6,5415454,0
Plantae,6,6359819,0
Plantae,6,3767891,0
Plantae,6,5303475,0
Plantae,6,2873769,0
Plantae,6,2873807,0
Plantae,6,7308877,0
Plantae,6,3836457,0
Plantae,6,2651706,0
Plantae,6,8254182,0
Plantae,6,3079985,0
Plantae,6,3189694,0
Plantae,6,8246677,0
Plantae,6,7451120,0
Plantae,6,3120223,0
Plantae,6,3120060,0
Plantae,6,3085168,0
Plantae,6,3085175,0
Plantae,6,2951851,0
Plantae,6,2951846,0
Plantae,6,5527836,0
Plantae,6,7313459,0
Plantae,6,7155887,0
Plantae,6,5409255,0
Plantae,6,3132228,0
Plantae,6,2651816,0
Plantae,6,2651833,0
Plantae,6,7412206,0
Plantae,6,3750161,0
Plantae,6,8417744,0
Plantae,6,2895031,0
Plantae,6,3591729,0
Plantae,6,5421195,0
Plantae,6,3721362,0
Plantae,6,3173321,0
Plantae,6,2811095,0
Plantae,6,3819030,0
Plantae,6,3825597,0
Plantae,6,2949102,0
Plantae,6,2949250,0
Plantae,6,5358297,0
Plantae,6,4164044,0
Plantae,6,7307327,0
Plantae,6,2767031,0
Plantae,6,2766811,0
Plantae,6,2766636,0
Plantae,6,5550211,0
Plantae,6,5401673,0
Plantae,6,3152226,0
Plantae,6,2733934,0
Plantae,6,2918871,0
Plantae,6,2918203,0
Plantae,6,2916044,0
Plantae,6,2918843,0
Plantae,6,2918700,0
Plantae,6,2704108,0
Plantae,6,4063474,0
Plantae,6,3659064,0
Plantae,6,3659898,0
Plantae,6,7167078,0
Plantae,6,3815492,0
Plantae,6,4079267,0
Plantae,6,3036209,0
Plantae,6,7903057,0
Plantae,6,3042751,0
Plantae,6,3042837,0
Plantae,6,3042845,0
Plantae,6,4030419,0
Plantae,6,5383016,0
Plantae,6,5382985,0
Plantae,6,3076220,0
Plantae,6,3076180,0
Plantae,6,3076290,0
Plantae,6,6358484,0
Plantae,6,5361944,0
Plantae,6,5555210,0
Plantae,6,5341758,0
Plantae,6,5602619,0
Plantae,6,7583876,0
Plantae,6,6370882,0
Plantae,6,5544043,0
Plantae,6,5544059,0
Plantae,6,8156987,0
Plantae,6,3173333,0
Plantae,6,3173338,0
Plantae,6,4055437,0
Plantae,6,2845882,0
Plantae,6,7394232,0
Plantae,6,4080574,0
Plantae,6,5421368,0
Plantae,6,3829613,0
Plantae,6,5288819,0
Plantae,6,9273319,0
Plantae,6,4933534,0
Plantae,6,4926336,0
Plantae,6,3136925,0
Plantae,6,3659000,0
Plantae,6,3173178,0
Plantae,6,4007936,0
Plantae,6,9649960,0
Plantae,6,3925297,0
Plantae,6,3034646,0
Plantae,6,8302726,0
Plantae,6,2928410,0
Plantae,6,3884461,0
Plantae,6,7342732,0
Plantae,6,5407100,0
Plantae,6,5407273,0
Plantae,6,5407123,0
Plantae,6,5407099,0
Plantae,6,9483249,0
Plantae,6,5308555,0
Plantae,6,3083508,0
Plantae,6,7262663,0
Plantae,6,3076532,0
Plantae,6,3076436,0
Plantae,6,3076491,0
Plantae,6,3076438,0
Plantae,6,3076595,0
Plantae,6,3076798,0
Plantae,6,2889355,0
Plantae,6,3172001,0
Plantae,6,4047850,0
Plantae,6,7303268,0
Plantae,6,8047443,0
Plantae,6,4156721,0
Plantae,6,4159200,0
Plantae,6,5298546,0
Plantae,6,3981543,0
Plantae,6,3981483,0
Plantae,6,3876453,0
Plantae,6,7799649,0
Plantae,6,8339627,0
Plantae,6,8971274,0
Plantae,6,5332182,0
Plantae,6,5389402,0
Plantae,6,5392065,0
Plantae,6,5391845,0
Plantae,6,5391862,0
Plantae,6,2693754,0
Plantae,6,3628231,0
Plantae,6,5383085,0
Plantae,6,2874863,0
Plantae,6,5385687,0
Plantae,6,5600005,0
Plantae,6,4079429,0
Plantae,6,2808791,0
Plantae,6,3189955,0
Plantae,6,5395607,0
Plantae,6,5395786,0
Plantae,6,6445734,0
Plantae,6,5395671,0
Plantae,6,5395639,0
Plantae,6,5395835,0
Plantae,6,7358042,0
Plantae,6,5395843,0
Plantae,6,5395686,0
Plantae,6,7300656,0
Plantae,6,4100434,0
Plantae,6,2984359,0
Plantae,6,7769607,0
Plantae,6,7327348,0
Plantae,6,3086282,0
Plantae,6,2758480,0
Plantae,6,4012211,0
Plantae,6,7288643,0
Plantae,6,2718302,0
Plantae,6,3579089,0
Plantae,6,5414566,0
Plantae,6,3699976,0
Plantae,6,7620074,0
Plantae,6,3189636,0
Plantae,6,8307542,0
Plantae,6,3189635,0
Plantae,6,5411542,0
Plantae,6,4094511,0
