Tên khoa học,Tên tiếng Việt,Phân bố,File,Tên đồng nghĩa,Họ,Họ thực vật,speciesKey
Fissistigma glaucescens (Hance) Merr. – Melodorum glaucescens Hance,Lãnh công xám,"Sơn La (Mộc ChâuChiềng Ve), Yên Bái, Quảng Ninh, Thanh Hoá, Gia Lai, Khánh Hoà. Cây mọc tự nhiên ở ven rừng thứ sinh, khá phổ biến ở vùng trung du",fissistigma-glaucescens-hance-merr.txt,,Na (Annonaceae),,3157333
Cratoxylum formosum (Jacq.) Benth. & Hook.f. ex Dyer – Elodea formosa Jack,Đỏ ngọn,"Cao Bằng, Kon Tum, Quảng Trị, Khánh Hòa… Cây mọc tự nhiên trong rừng thứ sinh, trên các đồi hoang, trảng cây bụi",cratoxylon-formosum-jack-benth-hook-f-ex-dyer.txt,,,Hypericaceae,7330024
Selaginella uncinata (Desv.) Spring – Lycopodium uncinatum Desv,Quyển bá móc,"Cao Bằng. Cây mọc tự nhiên ở vùng rừng ẩm, ở độ cao 300-500 m.",selaginella-uncinata-desv-spring.txt,,,Selaginellaceae,2688211
Neuracanthus tetragonostachyus Nees in Wall,"Kinh rô, Thường sơn trắng, Nam thường sơn","Ninh Thuận (Cà Ná), Đồng Tháp, An Giang (Châu Đốc, Núi Cấm). Cây mọc tự nhiên trong rừng, còn được trồng làm cảnh.",neuracanthus-tetragonostachyus-nees-in-wall.txt,,,Acanthaceae,7263193
Atractylodes macrocephala Koidz,Bạch truật,Cây nhập trồng,atractylodes-macrocephala-koidz.txt,,,Asteraceae,3122454
Sonerila rivularis Cogn,"Mua bò, Nhả thốt nưa","Lao Cai, Nghệ An, Kon Tum. Cây mọc tự nhiên dọc theo chân núi, ven suối",sonerila-rivularis-cogn.txt,,,Melastomaceae,3871045
Mentha aquatica L,"Húng láng, Rau thơm, Húng lũi, Húng quế",Cây trồng,mentha-aquatica-l.txt,,,Lamiaceae,2927208
"Betula alnoides Buch.-Ham. in DC. ( Betula acuminata Wall., B. alnoides Buch)","Cáng lò, Bạch dương, Co lim","Lào Cai, Hà Giang, Cao Bằng, Lạng Sơn, Tuyên Quang, Hà Nội (Ba Vì, Kon Tum (Ngọc Pan), Gia Lai (Kon Hà Nùng, Mang Yang, Đắk Đoa)",betula-alnoides-buch-ham-in-dc.txt,,Cáng lò – Betulaceae,,5331519
Myosoton aquaticum (L.) Moench,"Rau hấp cá, Rau xương cá, Rau hến, Phồn lâu",Phổ biến ở miền Bắc Việt Nam.,myosoton-aquaticum-l-moench.txt,"Cerastium aquaticum L. , Stellaria aquatica (L.) Scop., Malachium aquaticum (L.) Fries",Cẩm chướng – Caryophyllaceae,,5384501
Fragraea fragrans Roxb,Trai,"Quảng Bình, Quảng Trị, Thừa Thiên Huế, Tây Ninh, Kiên Giang",fragraea-fragrans-roxb.txt,,,Potaliaceae,
Rhapis excelsa (Thunb.) Henry ex Rehd,"Hèo, Hèo cảnh, Mật cật","Cây mọc tự nhiên, còn được trồng làm cảnh",rhapis-excelsa-thunb-henry-ex-rehd.txt,,,Arecaceae,2736747
Glinus lotoides L,"Rau đắng đất , Rau túc mễ, Rú pa","Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên trên đất cát ẩm",glinus-lotoides-l.txt,,,Mollugiaceae,3084616
Panax bipinnatifidus Seem. – Aralia bipinnatifida (Seem.) C.B. Clarke; Panax pseudoginseng var. bipinnatifidus (Seem.) H.L.Li,"Sâm vũ diệp, Tam thất lá xẻ, Vũ diệp tam thất, Tam thất hoang","Lai Châu (Than Uyên), Lào Cai (Sa Pa, Dền Sáng, Bát Xát). Cây mọc tự nhiên trong rừng ẩm ở độ cao từ 1500 – 2000 m. Loài quý hiếm, đã được đưa vào Sách Đỏ Việt Nam",panax-bipinnatifidus-seem.txt,,Ngũ Gia Bì (Arliaceae),,5372264
Ceiba pentandra (L.) Gaertn. – Bombax pentandrum L,"Gòn, Bông gòn","Cây mọc tự nhiên, cũng được trồng , ở độ cao dưới 900 m",ceiba-pentandra-l-gaertn.txt,,,Bombacaceae,5406697
Bridelia stipulariss (L.) Blume – Cluytia stipularis L,Thổ mật leo,"Vĩnh Phúc (chân Tam Đảo), Hải Dương (Chí Linh). Cây mọc tự nhiên trong rừng tre nứa, lùm bụi từ vùng thấp tới độ cao 400 m",bridelia-stipulariss-l-blume.txt,,,Euphorbiaceae,3076290
Chrysanthemum morifolium Ramat,"Cúc hoa trắng, Bạch cúc",Cây nhập trồng,chrysanthemum-morifolium-ramat.txt,,,Asteraceae,3150767
Allamanda neriifolia Hook,Dây huỳnh lá hẹp,Cần Thơ. Cây trồng làm cảnh.,allamanda-neriifolia-hook.txt,,,H ọ Trúc đào (Apocynaceae),3169838
Allophylus dimorphus Radlk,"Mạc ca, Giấp cá rừng","Khánh Hòa (Nha Trang). Cây mọc tự nhiên, thường gặp dưới rừng Cao su",allophylus-dimorphus-radlk.txt,,,Sapindaceae,5577677
Mecopus nidulans Benn,Ổ chim,"Kon Tum (Sa Thầy), Gia Lai (Cheo Reo), Đắk Lắk, Đồng Nai, Bà Rịa Vũng Tàu, Nam bộ. Cây mọc tự nhiên trên cá bãi hoang, bãi cỏ ven đường, bờ ruộng, ở độ cao tới 600 m",mecopus-nidulans-benn.txt,,,Fabaceae,5352176
