Tên khoa học,Tên tiếng Việt,Phân bố,File,Tên đồng nghĩa,Họ,Họ thực vật,speciesKey
Myoporum bontioides A.Gray,Bách sao,Quảng Ninh (Vịnh Hạ Long). Cây mọc tự nhiên rải rác ven bờ biển.,myoporum-bontioides-a-gray.txt,,,Myoporaceae,3745841
Clerodendrum paniculatum L,"Ngọc nữ đỏ Mò đỏ, Bấn đỏ, Vậy đỏ, Lẹo cái","Quảng Bình, Quảng Trị, Thừa Thiên Huế, Kon Tum, Đắk Lắk. Cây mọc tự nhiên trên các bãi hoang, ven đường, ở độ cao tới 1.600 m",clerodendrum-paniculatum-l.txt,,,Verbenaceae,3890745
Hymenophyllum barbatum (Bosch) Baker,"Quyết lá màng có râu, Ráng màng râu","Gặp ở một số vùng núi thấp của Lào Cai (Sa Pa), Cao Bằng (núi Phia Oắc), Hà Nội (núi Ba Vì), Lâm Đồng (núi Lang Bian)",hymenophyllum-barbatum-bosch-baker.txt,"Leptocionium barbatum Bosch, Hymenophyllum oxyodon Baker",Ráng màng – Hymenophyllaceae,,8222617
Ludwigia hyssopifolia (G.Don) Exell,"Đinh nam, Rau lức, Nhớt mèo, Rau mương, Xương cá","Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên gần nước, nơi ẩm, độ cao dưới 1.500 m",ludwigia-hyssopifolia-g-don-exell-apud-a-r-fernandes.txt,,Rau dừa nước (Onagraceae),,8924323
Desmos chinensis Lour. – Unona desmos sensu Fin. & Gagnep,"Giẻ, Hoa giẻ","Sơn La, Yên Bái, Hà Giang, Cao Bằng tới Đồng Nai. Cây mọc tự nhiên khá phổ biến ở ven rừng, đồi hoang, ven làng bản ở trung du và miền núi",desmos-chinensis-lour.txt,,,Annonaceae,3155130
Porana volubilis Burm.f,"Bìm bìm núi,  Rạng leo",Cây mọc tự nhiên ven rừng,porana-volubilis-burm-f.txt,,Bìm bìm (Convolvulaceae),,5829182
Ixora nigricans R. Br. ex Wight et Arn,"Đơn trắng , Bông trang trắng, Co mỡ põ (Thái)","Quảng Bình, Quảng Trị, Thừa Thiên Huế, Sài Gòn. Cây mọc tự nhiên rải rác trong rừng thưa, bãi hoang, dựa rạch",ixora-nigricana-r-br-ex-wight-et-arn.txt,,,Rubiaceae,2905255
Schefflera heptaphylla (L.) Frodin – Aralia octophylla Lour.; S. octophylla (Lour.) Harms,Ngũ gia bì chân chim,"Cây gỗ nhỏ, mọc tự nhiên rải rác trong rừng ẩm thường xanh ở hầu hết các tỉnh phía Bắc tới Bà Rịa Vũng Tàu",schefflera-heptaphylla-l-frodin.txt,,,Araliaceae,11047823
Syzygium zeylanicum (L.) DC. – Myrtus zeylanicum L,"Trâm tích lan, Trâm vỏ đỏ","Kon Tum trở vào. Cây mọc tự nhiên trong các quần hệ thứ sinh, ở độ cao khoảng 1000 m",syzygium-zeylanicum-l-dc.txt,,,Myrtaceae,3182824
Cycas revoluta Thunb,Vạn tuế,Cây trồng làm cảnh,cycas-revoluta-thunb.txt,,,Cycadaceae,2683217
Margaritaria indica (Dalz.) Airy-Shaw – Phyllanthus indicus (Dalz.) Muell.-Arg,Diệp hạ châu ấn,"Quảng Ninh (Đầm Hà), Đồng Nai, Bà Rịa Vũng Tàu. Cây mọc tự nhiên trong rừng thường xanh hay rụng lá, ở độ cao 100-500 m.",margaritaria-indica-dalz-airy-shaw.txt,,Thầu dầu (Euphorbiaceae),,5383240
Ipomoea pileata Roxb. – Ipomoea involucrata P. Beauv. – Navipomoea involucrata (Beauv.) Robcrty,"Bìm nón, Bìm hến, Bìm tổng bao","Lào Cai, Quảng Ninh (Uông Bí), Hòa Bình(Vụ Bản), Ninh Bình, Khánh Hòa (Nha Trang), Kon Tum, Đắc Lắc (Bản Đôn), Ninh Thuận. Cây mọc tự nhiên rải rác ven đồi, lùm bụi, trảng cỏ, dựa lộ, nơi khô và sáng",ipomoea-involucrata-beauw.txt,,Bìm bìm (Convolvulaceae),,7829065
Homalomena gigantea Engl. & K. Krause,Thiên niên kiện to,Lâm Đồng (Di Linh). Cây mọc tự nhiên trong rừng ẩm thường xanh.,homalomena-gigantea-engl-k-krause.txt,,,Araceae,4933184
Tabernaemontana divaricata (L.) R. Br. ex Roem. et Schult. – Nerium divaricatum L,Hoa ngọc bút,Cây trồng làm cảnh ở nhiều gia đình từ Bắc vào đến đồng bằng Nam Bộ,tabernaemontana-divaricata-l-r-br-ex-roem-et-schult.txt,,Trúc đào (Apocynaceae),,3169625
Garcinia cowa Roxb,Tai chua,"Lào Cai, Hà Giang, Vĩnh Phúc, Hoà Bình, Lạng Sơn. Cây mọc tự nhiên, còn được trồng",garcinia-cowa-roxb.txt,,,Clusiaceae,3715021
Eragrostis japonica (Thunb.) Trin,Tinh thảo nhật,Đồng Nai. Cây mọc tự nhiên trên ruộng và đất ẩm,eragrostis-japonica-thunb-trin.txt,,,Poaceae,2705394
Senna surattensis (Burm.f.) Irwin & Barneby; Cassia suffruticosa Koenig ex Roth,"Muồng hoè, Hoè ngót",Cây mọc tự nhiên phổ biến ở Việt Nam,senna-surattensis-burm-f-irwin-cassia-suffruticosa-koenig-ex-roth.txt,,,Caesalpiniaceae,2958052
"Asystasia chelonoides Ness ( Justicia gangetica L., Asystasia coromandeliana Nees in Wall., A.gangetica (L.) T. Anders.)","Biến hóa, Sao tím","Hà Nội (Ba Vì), Ninh Bình, Thừa Thiên Huế, Kon Tum (Đắk Glei).",asystasia-chelonoides-ness.txt,,Ô rô – Acanthaceae,,3775264
Strobilanthes pentastemonoides (Nees) T. Anders. – Goldfussia pentastemonoides Nees,Chùy hoa đỏ,"Lào Cai (Sa Pa), Lâm Đồng (Langbian). Cây mọc tự nhiên rải rác trong rừng thường xanh, ở độ cao 1600 – 2000 m",strobilanthes-pentastemonoides-nees-t-anders.txt,,,Acanthaceae,8750274
Datura inoxia Mill,"Cà độc dược hung, Cà độc dược gai tù",Nhập trồng,datura-inoxia-mill.txt,,Cà (Solanaceae),,2928755
Helicia nilagirica Bedd,"Quắn hoa, Mạ xưa, Chẹo thui","Lai Châu (Bình Lư), Lào Cai (Sa Pa), Đắc Lắc, Lâm Đồng, Bà Rịa – Vũng Tàu. Cây mọc tự nhiên trong rừng, ở độ cao 900 – 1200m",helicia-nilagirica-bedd.txt,,,Proteaceae,5637355
Oenanthe javanica (Blume) DC. – Sium javanicum Blume,"Cần, Rau cần cơm, Rau cần ống, Khổ cần",Cây trồng làm rau ăn vào mùa thu đến mùa xuân,oenanthe-javanica-blume-dc.txt,,,Apiaceae,5371886
Solanum thorellii Bonati,Cà leo hoa trắng,"Sơn La (Mai SơnHát Lót), Hà Nội (Ba Vì), Tây Ninh. Cây mọc tự nhiên, rải rác trong rừng thứ sinh, ven rừng, lùm bụi, ở độ cao 200-800 m",solanum-thorellii-bonati.txt,,Cà (Solanaceae),,3803413
Glochidion armottiamum Muell.-Arg. – G. molle Hook. et Arn,Sóc mềm,"Hoà Bình, Ninh Bình (Chợ Ghềnh). Cây mọc tự nhiên ở đồi cây thưa vùng núi đá vôi",glochidion-armottiamum-muell-arg.txt,,,Euphorbiaceae,3080562
Taraxacum officinarum Rupr,"Bồ công anh thấp, Hùng hoa địa đinh, Bồ công anh trung quốc, Sư nha","Lai Châu, Lào Cai, Sơn La, Hà Giang, Vĩnh Phúc (Tam Đảo), Thừa Thiên Huế (Bạch Mã). Cây mọc tự nhiên ở độ cao 100-2500 m",taraxacum-officinalis-weber-in-wigg.txt,,Cúc (Asteraceae),,5696707
Marsdenia tonkinensis Cost,Nhạ nhầu,"Lạng Sơn, Ninh Bình. Cây mọc tự nhiên ở vùng núi đá vôi",marsdenia-tonkinensis-cost.txt,,,Asclepiadaceae,3574964
Cardiospermum halicacabum L,"Tầm phỏng , Tam phỏng, Xoan leo, Mang hổ, Phong thuyền cát, Búp bụp, Phác tèng (Tày)",Mọc tự nhiên khắp nơi,cardiospermum-halicacabum-l.txt,,,Sapindaceae,3189939
Vicia faba L,"Đậu răng ngựa, Đậu bê an",Cây trồng ở các tỉnh miền núi phía Bắc,vicia-faba-l.txt,,,Họ Đậu (Fabaceae),2974832
Aniseia martinicensis (Jacq.) Choisy – Convolvulus martinicensis Jacq,Bìm nước,"Thừa Thiên Huế, Đồng Nai, thành phố Hồ Chí Minh, Đồng Tháp. Cây mọc tự nhiên ở ruộng hoa, ven đê, bờ nước, đầm lầy",aniseia-martinicensis-jacq-choisy.txt,,Bìm bìm (Convolvulaceae),,2928410
Solanum album Lour. – Solanum undatum Poir,Cà pháo,Cây trồng,solanum-album-lour-solanum-undatum-poir.txt,,Cà (Solanaceae),,2930617
"Alocasia longiloba Miq. ( Alocasia cuspidata Engl., Alocasia cochinchinensis Pierre ex Engl. & K. Krause)","Ráy tai lá dài, Ráy thùy dài, Ráy lá dài, Ráy mũi","Lạng Sơn (Hữu Lũng), Quảng Trị, Đà Nẵng, Quảng Nam, Khánh Hòa (Nha Trang Khánh Vĩnh), Lâm Đồng (Di Linh), Đồng Nai (Biên Hòa), Kiên Giang Phú Quốc).",alocasia-longiloba-miq.txt,,Ráy – Araceae,,5329978
Crepidium acuminatum (D. Don) Szlach. – Malaxis acuminata D.Don,Ai lan nhọn,"Ninh Bình (Cúc Phương), Lâm Đồng, Khánh Hòa, Tây Ninh. Cây mọc tự nhiên trong rải rác trong rừng, ở độ cao 400-1.500 m.",crepidium-acuminatum-d-don-szlach.txt,,,Orchidaceae,5307089
Androsace umbellata (Lour.) Merr. – Drosera umbellata Lour,"Báo xuân hoa., Điểm địa, Hùng trâm","Cao Bằng (Nguyên Bình), Hoà Bình, Ninh Bình, Thanh Hoá, Nghệ An. Cây mọc tự nhiên rải rác trên các trảng cỏ, ruộng hoang, nơi ẩm",androsace-umbellata-lour-merr.txt,,Anh thảo (Primulaceae),,4007936
Xylia xylocarpa var. kerrii (Craib et Hutch.) I.C. Nielsen,"Căm xe, Da đá","Kon Tum, Gia Lai, Đắk Lắk, Ninh Thuận, Đồng Nai, Bà Rịa Vũng Tàu. Cây mọc tự nhiên trong rừng rậm thường xanh, rừng hỗn giao rụng lá, rừng thưa cây họ Dầu, ở độ cao tới 900 m",xylia-xylocarpa-roxb-taub-var-kerrii-craib-et-hutch-i-nielsen.txt,,,Mimosaceae,7976013
Garuga pinnata Roxb,"Cốc đá, Đầu heo","Hòa Bình, Ninh Bình, Khánh Hòa. Cây mọc tự nhiên rải rác trong rừng thường xanh",garuga-pinnata-roxb.txt,,,Họ Trám (Burseraceae),3993458
Strophanthus divaricatus (Lour.) Hook. et Arn,Sừng dê,"Hải Dương (Chí Linh), Nghệ An, Hà Tĩnh. Cây mọc tự nhiên trên đồi cây bụi dãi nắng",strophanthus-divaricatus-lour-hook-et-arn.txt,,Trúc Đào (Apocynaceae),,7567945
Brassica campestris L,"Cải sen, Cải bẹ trắng, Bạch giới, Cát khao (Tày), Cải lú bú",Cây trồng.,brassica-campestris-l.txt,,,Brassicaceae,7903057
Crocosmia × crocosmiiflora (Lemoine) N.E.Br. – Montbretian (X) crocosmiiflora Lemoine ex E. Morren,"Hùng hoàng lan, Nghệ hương","Lâm Đồng, Thừa Thiên Huế (Bạch Mã). Cây trồng trong vườn, trong chậu.",crocosmia-x-crocosmifolia-lemoine-ex-moren-n-e-br.txt,,,Iridaceae,2747939
Diodia sarmentosa Sw,"Song nhĩ trườn, Sláy ma lưng (Sán Chay)",Hoang dại hóa ở nhiều nơi.,diodia-sarmentosa-sw.txt,,Cà phê – Rubiaceae,,9070905
Hydrocotyle wilfordii Maxim,Rau má uyn,"Hà Nội (Ba Vì). Cây mọc tự nhiên ở nơi ẩm, ở độ cao 600-800 m",hydrocotyle-wilfordii-maxim.txt,,,Apiaceae,6308332
Clematis vitalba L. var. gouriana (Roxb.) Fin. et Gagnep,"Mộc thông Dây khố rách, Hỏm sắm mía (Dao)","Lào Cai, Hoà Bình, Ninh Bình. Cây mọc tự nhiên",clematis-vitalba-l-var-gouriana-roxb-finet-et-gagnep.txt,,,Ranunculaceae,7986126
Helicia robusta (Roxb.) Blume – Roupala robusta Roxb,"Mạ sưa to, Quắn hoa to","Lào Cai (Sa Pa), Vĩnh Phúc (Tam Đảo) . Cây mọc tự nhiên rải rác trong rừng, ở độ cao tới 1500m",helicia-robusta-roxb-blume.txt,,,Proteaceae,7793512
Acacia caesia var. subnuda (Craib) I.C.Nielsen,Keo cắt,"Cây mọc tự nhiên trong các quần hệ thứ sinh rậm, trên đất tốt dọc các sông suối ở độ cao 200 – 300m, từ Hoà Bình tới Tây Ninh",acacia-caesia-l-willd-var-subnuda-craib-i-niels.txt,,,Mimosaceae,7997923
Scutellaria baicalensis Georgi,"Hoàng cầm, Thuẫn bai can",Lào Cai. Cây nhập trồng,scutellaria-baicalensis-georgi.txt,,,Lamiaceae,7309014
Ardisia hanceana Mez,Cơm nguội hance,"Kon Tum, Lâm Đồng. Cây mọc tự nhiên rải rác trong rừng hỗn giao, sườn đồi, dọc bờ suối, ở độ cao 400-1500 m",ardisia-hanceana-mez.txt,,,Họ Đơm Nem (Myrsinaceae),5558282
Colysis elliptica (Thunb.) Ching,Ráng ổ vạch bầu dục; Ráng cổ lý elip,"Gặp ở nhiều vùng đồi núi thấp từ Lào Cai (Sa Pa), Yên Bái (núi Con Voi), Cao Bằng, Thái Nguyên, Lạng Sơn (Mẫu Sơn), Vĩnh Phúc (núi Tam Đảo), Hòa Bình (Mai Châu, Chi Nê), Hà Nam (Kim Bảng) và Ninh Bình (Cúc Phương) đến Đà Nẵng, Lâm Đồng (Bảo Lộc) và Khánh Hòa (Nha Trang).",colysis-elliptica-thunb-ching.txt,Polypodium ellipticum Thunb,Ráng nhiều chân – Polypodiaceae,,5646838
Gomphostemma microdon Dunn,Đinh hùng răng nhỏ,"Lai Châu, Sơn La (Mộc ChâuMường Sang). Cây mọc tự nhiên ở nơi ẩm, dưới tán rừng, ở độ cao 400-1000 m",gomphostemma-microdon-dunn.txt,,Hoa môi (Lamiaceae),,3890441
Boehmeria nivea (L.) Gaudich. – Urtica nivea L,"Gai, Trữ ma, Gai tuyết, Gai làm bánh, Co pán (Thái), Bẩu pán (Tày), Chiểu đủ (Dao)","Cây mọc tự nhiên, còn được trồng ở nhiều nơi để lấy lá làm bánh, rễ làm thuốc",boehmeria-nivera-l-gaudich.txt,,,Urticaceae,2984359
Uraria crinita (L.) Desv. – Hedysarum crinitum L,"Đuôi chó, Đuôi chồn quả đen","Cây mọc tự nhiên khá phổ biến trong các thảm cỏ, cây bụi từ Lào Cai tới Lâm Đồng",uraria-crinita-l-desv.txt,,,Fabaceae,2956565
Pharbitis indica (Burm.) Hagiwara – Convolvulus indica Burm.; Ipomoea congesta R. Br,"Bìm bìm tím, Bìm ấn",Cây trồng làm cảnh vì có hoa màu đỏ đẹp.,pharbitis-indica-burm-hagiwara.txt,,Bìm bìm (Convolvulaceae),,2928598
Cucurbita spp,"Hạt bí đỏ, Má ứ (Thái), Nam qua tử, Hạt bí ngô",,hat-bi-ngo.txt,,Cucurbitaceae (Bầu bí),,
Rauvolfia vietnamensis Lý,Ba gạc Việt Nam,,rauvolfia-vietnamensis.txt,,"Trúc đào (Apocynaceae) Cập nhật01/07/2019 ★ ★ ★ ★ ★ ★ 0.0 - 0 đánh giá Chia sẻ Chia sẻ Cây thuốc khác Pogostemon auricularius Hassk. Stereospermum neuranthum Kurz Tadehagi triquetrum (L.) Ohashi – Desmodium triquetrum (L.) DC. Amanita pantherina (Fr.) Quel Bình luận Câu hỏi của bạn Hủy X Bạn vui lòng điền thêm thông tin! Chọn tệp (Allowed file typesjpg, png , maximum file size100MB. Cây thuốc được quan tâm Ampelopsis cantoniensis (Hook. et Arn.) Planch. Chữa sưng vú (Lá giã đắp). Đau dạ dày hành tá tràng (Cành lá... Curculigo orchioides Gaertn",,3616215
Carthamus tinctorius L,"Hồng hoa, Rum, Hồng lam hoa",Lào Cai. Cây nhập trồng,carthamus-tinctorius-l.txt,,,Asteraceae,3138327
Gynostemma laxum (Wall.) Cogn. – Zanonia laxa Wall,Cổ yếm lá bóng,"Lao Cai, Phú Thọ (Tân Sơn), Hoà Bình, Ninh Bình. Cây mọc tự nhiên ven rừng, chân núi đá",gynostemma-laxum-wall-cogn.txt,,,Họ Bầu bí (Cucurbitaceae),3625912
Arcangelisia flava (L.) Merr,"Vảy đắng, Dây hoàng liên","Đồng Nai (Định Quán, Bảo Chánh). Mọc rải rác ven rừng.",arcangelisia-flava-l-merr.txt,,,Menispermaceae,3830318
Cucurbita pepo L,"Bí đỏ., Bí rợ, Bí ử",Cây trồng lấy quả và ngọn làm rau ăn,cucurbita-pepo-l.txt,,,Bầu bí (Cucurbitaceae),2874508
Curculigo capitulata (Lour.) Kuntze – Leucoium capitulata Lour,"Sâm cau lá lớn, Cồ nốc hoa đầu","Sơn La, Vĩnh Phú, Lạng Sơn, Ninh Thuận, Lâm Đồng, Đồng Nai. Cây mọc tự nhiên dưới tán rừng thường xanh",curculigo-capitulata-lour-kuntze.txt,,,Họ Hạ trâm (Hypoxidaceae),2852556
Terminalia bellirica (Gaertn.) Roxb. – Myrobalanus bellibrica Gaertn,"Bàng hôi, Bàng nước, Nhứt","Cây mọc tự nhiên ở độ cao dưới 1300m, phổ biến trong rừng kín các tỉnh miền Nam nước ta",terminalia-bellirica-gaertn-roxb.txt,,,Combretaceae,3189390
Anaxagorea luzonensis A. Gray – A. zeylanica Hook.f. & Thoms,Quả đầu ngỗng,"Quảng Bình, Quảng Trị, Quảng Ngãi (Sơn Bao, huyện Sơn Hà), Khánh Hoà, Đồng Nai, Bà Rịa – Vũng Tàu. Cây mọc tự nhiên dưới tán rừn nguyên sinh nơi ẩm, ở độ cao 100 – 300m. Loài hiếm đã được đưa vào Sách Đỏ Việt Nam",anaxagorea-luzonensis-a-gray.txt,,Na (Annonaceae),,3156868
Diospyros apiculata Hiern,Thị thum,"Hà Tĩnh (Hương Khê), Khánh Hòa, Ninh Thuận (Phan Rang). Cây mọc tự nhiên trong rừng thứ sinh, rừng phục hồi sau khai thác, ở độ cao dưới 800 m",diospyros-apiculata-hiern.txt,,,Ebenaceae,7705068
Cucubatus baccifer L,"Rút gân, Trừu cân thảo, Cẩu cân mang","Lào Cai (Sa Pa). Cây mọc tự nhiên rải rác ven rừng, ven đường, ở độ cao 1500-1800 m",cucubatus-baccifer-l.txt,,,Caryophyllaceae,10953644
Pithecellobium dulce (Roxb.) Benth. – Mimosa dulcis Roxb,"Găng tây , Me keo, Keo tây, Găng gà, Kham phật (Tày)",Cây trồng nay trở nên hoang hoá khá phổ biến ở Tây Nguyên và duyên hải Miền Trung. Nguyên sản ở Trung Mỹ,pithecellobium-dulce-roxb-benth.txt,,,Mimosaceae,2962831
Areca laosensis Becc,"Cau núi, Cau rừng, Cau lào","Sơn La (Mộc Châu), Thanh Hóa, Nghệ An, Hà Tĩnh. Cây mọc tự nhiên trong rừng thứ sinh",areca-laosensis-becc.txt,,,Arecaceae,2736594
Calotropis gigantea (L.) Dryand. ex Ait. f,"Bồng bông to, Bông bông, Lá hen","Hà Nội (Ba Vì, Thủ Pháp), Hà Nam (Phủ Lý), Ninh Bình (Nho Quan, Nghệ An (Quỳnh Lưu, Gia Lai (Ayun Pa, Cheo Reo, Phú Túc), Khánh Hòa (Nha Trang, Bà Rịa-Vũng Tàu (Bà Rịa)",calotropis-gigantea-l-dryand-ex-ait-f.txt,,Thiên lý – Asclepiadaceae,,3579089
Cananga odorata (Lam.) Hook.f . et Thoms. – Uvaria odorata Lam,"Hoàng lan, Ngọc lan tây , Bông sứ, Cây công chúa, Ylang y lang (Mnông)",Cây trồng phổ biến ở các công viên và công sở,cananga-odorata-lam-hook-f-et-thoms.txt,,,Annonaceae,5407583
Aerides falcata Lindl,"Lan giáng hương, Quế lan hương, Lan đuôi cáo","Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên, bám trên cây gỗ lớn trong rừng, ở độ cao 300-1.400 m",aerides-falcata-lindl.txt,,,Orchidaceae,2811095
Wedelia chinensis (Osbeck) Merr. – W. calendulacea (L.) Less,"Sài đất, Húng trám, Cúc nháp, Ngổ núi, Ngổ đất, Lỗ địa cúc, Tân sa","Cây mọc tự nhiên, thường được trồng",wedelia-chinensis-osbeck-merr.txt,,,Asteraceae,3116861
Spirolobium cambodianum Baill,Luân thùy cam bốt,"Tây Ninh, Sài Gòn. Cây mọc tự nhiên ở ven rừng, ven đường đi, vùng đất pha cát",spirolobium-cambodianum-baill.txt,,,Apocynaceae,6025781
Davallia repens (L.f.) Kuhn – Adiantum repens L.f.; Humata repens (L.f.) Diels,Ráng bò,"Rất rộng. Cây mọc tự nhiên, phụ sinh trên cây gỗ, trên đá vùng núi từ 100 – 1500m.",davallia-repens-l-f-kuhn.txt,,,Davalliaceae,4204959
Setaria palmifolia (Koenig) Stapf – Panicum palmifolium Koenig,"Tơ vĩ tre, Đuôi chồn lá tre, Cỏ lá dừa","Bắc Bộ, Lâm Đồng. Cỏ nhiều năm, mọc ở bãi cỏ ven đường, ven rừng, ven suối, vườn chè, vườn cà phê.",setaria-palmifolia-koenig-stapf.txt,,,Poaceae,2702958
Stephania rotunda Lour. – S. glabra (Roxb.) Miers,Bình vôi,Ninh Bình (Đồng Giao). Cây mọc tự nhiên ở núi đá,stephania-rotunda-lour.txt,,Tiết dê (Menispermaceae),,5592764
Peristrophe paniculata (Forsk.) Brumitt,Cẩm hình chùy; Cẩm hoa chùy,Có ở nhiều nơi,peristrophe-paniculata-forsk-brumitt.txt,"Dianthera paniculata Forsk., D. bicalyculata Retz., Peristrophe bicalyculata (Retz.) Nees",Ô rô – Acanthaceae,,5575270
Combretum latifolium Blume,Quỳnh tàu,"Kon Tum đến Bà Rịa – Vũng Tàu (Côn Đảo). Cây mọc tự nhiên, mọc leo lên cây gỗ và vách đá",combretum-latifolium-blume.txt,,,Combretaceae,8344668
Croton cascarilloides Raeusch,"Cù đèn lông. Tên gọi khác Khai đen, Ba đậu lá nhót","Lạng Sơn, Quảng Ninh, Hòa Bình, Ninh Bình, Thanh Hóa, Nghệ An, Kon Tum. Cây mọc tự nhiên trong rừng thứ sinh, rừng rậm vùng núi đá vôi.",croton-cascarilloides-raeusch.txt,,Thầu dầu (Euphorbiaceae),,3057960
Ardisia solanacea Roxb,Cơm nguội cà,"Nghệ An, Đà Nẵng, Bà Rịa Vũng Tàu. Cây mọc tự nhiên trong rừng hỗn giao, trảng cây bụi, sườn đồi, ven suối, ở độ cao 400-1600 m",ardisia-solanacea-roxb.txt,,,Đơm Nem (Myrsinaceae),5558193
Blumea martiniana Vaniot,"Kim đầu, Cúc lông mật, Lạt sơn","Lào Cai, Hà Giang, Cao Bằng, Quảng Ninh, Thái Nguyên, Hà Nội. Cây mọc tự nhiên ở ven rừng thưa, ở độ cao 300-1600 m.",blumea-martiniana-vaniot.txt,,,Asteraceae,5395726
Diplectria barbata (Wall. ex C.B. Clarke) Franken & Roos – Anplectrum barbatum C.B. Clarke,Dây ấn đằng,"Thanh Hóa, Quảng Trị, Đà Nẵng, Quảng Nam, Kon Tum, Gia Lai, Lâm Đồng, Đồng Nai. Cây mọc tự nhiên rải rác ven rừng hoặc trong rừng thưa rụng lá, ở độ cao khoảng 1200 m",diplectria-barbata-c-b-clarke-frank-et-roos-anplectrum-barbatum-c-b-clarke.txt,,,Họ Mua (Melastomaceae),5601226
Volvariella volvacea (Bull. ex Fr.) Singer,Nấm rơm,"Cây mọc trên rơm rạ mục hoặc đất có nhiều mùn vào tháng 7-8, rất phổ biến ở Việt Nam.",volvariella-volvacea-bull-ex-fr-singer.txt,,,Pluteaceae,5241445
Salvinia natans (L.) All,Bèo vẩy ốc,"Cây mọc tự nhiên, phổ biến trong các ao, hồ, đầm, mương máng ở Việt Nam.",salvinia-natans-l-all.txt,,,Bèo ong (Salviniaceae),5274858
Sesuvium portulacastrum (L.) L. – Portulaca portulacastrum L,"Hải châu, Phiên hạch","Quảng Ninh, Đà Nẵng, Khánh Hoà, Đồng Nai. Cây mọc tự nhiên rải rác ở bãi cát vùng ven biển",sesuvium-portulacastrum-l-l.txt,,,Aizoaceae,3084883
Wedelia wallichii Less. – W. montana (Blume) Boerl. var. wallichii (Less) H. Koyama,Sơn cúc núi,"Sơn La, Nghệ An, Quảng Bình, Kon Tum, Đắk Lắk, Lâm Đồng. Cây thảo nhiều năm, mọc bò lan trên mặt đất ở ven rừng, đồn điền trồng cà phê, ở độ cao 100-1.500 m",wedelia-wallichii-less.txt,,,Asteraceae,9365162
Anaphalis adnata Wall. ex DC. – Gnaphylium adnatum Wall,Bạch nhung con,"Sơn La (Mộc Châu), Lào Cai (Sa Pa), Cao Bằng (Nguyên Bình), Kon Tum, Lâm Đồng (Đà Lạt). Cây mọc tự nhiên ở các trảng cỏ chân núi, trên độ cao 1600-2000 m",anaphalis-adnata-wall-ex-dc.txt,,,Asteraceae,9273319
Merremia hederacea (Burm.f.) Hall.f. – Evolvulus hederaceus Burm.f,Bìm vàng,"Lạng Sơn, Quảng Ninh, Hà Nội, Hải Dương, Khánh Hòa, Đắk Lắk. Cây mọc tự nhiên rải rác ven rừng, bãi hoang, lùm bụi",merremia-hederacea-burm-f-hall-f.txt,,Bìm bìm (Convolvulaceae),,5341744
Passiflora cochinchinensis Spreng. – Passiflora moluccana Reinw. ex Blume var. teysmanniana (Miq.) W. Wilde,Dây xen,"Thanh Hóa (Cửa Bàng), Quảng Trị (Lao Bảo), Thừa Thiên Huế, Ninh Thuận. Cây mọc tự nhiên trên cát, đất lẫn đã.",passiflora-moluccana-reinw-ex-blume-var-teysmanniana-miq-w-wilde.txt,,Lạc tiên (Passifloraceae),,3587564
Trianthema portulacastrum L . Họ Rau đắng biển (Aizoaceae),"Cỏ tam khôi,  Dàn dàn, Dàu dàu","Hải Phòng, Hà Nội, Thừa Thiên Huế, Khánh Hoà, Kiên Giang. Cây mọc rải rác ven đường, ruộng, nương rẫy, cồn cát vùng gần biển",trianthema-portulacastrum-l.txt,,,,3084848
Malus pumila Mill,Táo tây,"Cây trồng ở Lào Cai, Hà Giang và Lâm Đồng.",malus-pumila-mill.txt,"Pyrus malus L., Malus domestica Borkh",Hoa hồng – Rosaceae,,3001244
Ipomoea batatas (L.) Poir. – Convolvulus batatas L,"Khoai lang, Mẳn van, Phiên chư, Cam thự, Mằn bửng (Tày), Bụm blec (Kho)",Cây trồng ở khắp các tỉnh đồng bằng của Việt Nam. Nguồn gốc từ Ấn Độ,ipomoea-batatas-l-poir-in-lam.txt,,,Convolvulaceae,2928551
Amaranthus lividus L.  – Amaranthus viridis L,"Rau giền cơm, Dền tái, Dền xanh, Dền đất","Cây mọc tự nhiên trên bãi hoang, vườn, đường đi khá phổ biến ở nước ta",amaranthus-lividus-l-amaranthus-viridis-l.txt,,,Amaranthaceae,
Dioscorea pentaphylla L,"Củ trâu, Dây liều, Từ năm lá","Đồng Nai, Sông Bé. Cây mọc tự nhiên",dioscorea-pentaphylla-l.txt,,Củ nâu (Dioscoreaceae),,2754423
Paederia lanuginosa Wall,Mơ tam thể,"Cây mọc tự nhiên, còn được trồng khá phổ biến ở Việt Nam",paederia-lanuginosa-wall.txt,,,Rubiaceae,2909568
Davallia denticulata (Burm. f.) Mett. ex Kuhn. – Adiantum denticulatum Burm.f,"Đà hoa rãng., Huỳnh xà, Cây vảy lợp","Khá rộng. Khánh Hòa, Ninh Thuận, Bình Dương, An Giang. Cây mọc tự nhiên, thường bám trên cây gỗ hay đá, trong rừng rậm thường xanh hay nửa rụng lá.",davallia-denticulata-burm-f-mett-ex-kuhn.txt,,,Ráng hoa đà  (Davalliaceae),8684056
